TestNum,Reps,Time(s),DGEFA%,DGESL%,OVERHEAD%,KFLOPS
1.0,128.0,0.97,89.09,1.67,9.24,5302036.59
1.0,256.0,1.93,89.02,1.7,9.28,5312537.098
1.0,512.0,3.87,89.07,1.68,9.25,5304397.85
1.0,1024.0,7.72,89.06,1.68,9.25,5311982.286
1.0,2048.0,15.57,89.15,1.68,9.17,5265244.953
2.0,128.0,0.98,89.18,1.64,9.18,5229744.08
2.0,256.0,1.93,88.61,1.67,9.71,5332511.433
2.0,512.0,3.93,89.18,1.66,9.15,5218916.847
2.0,1024.0,7.74,89.07,1.67,9.26,5301851.615
2.0,2048.0,15.55,89.0,1.73,9.27,5278642.367
0.0,793.6,6.019,89.043,1.678,9.276,5285786.512
